title,genre_1_name,vote_average,vote_count,popularity,release_year
The Special Relationship,TV Movie,5.7,15.0,1.753332,2010
The Twilight Saga: Eclipse,Adventure,5.9,2382.0,34.047399,2010
The Last Airbender,Action,4.7,1180.0,9.544657,2010
The Rolling Stones: Stones in Exile,Documentary,5.6,4.0,0.726745,2010
Predators,Action,6.0,1231.0,9.034929,2010
Despicable Me,Animation,7.1,6595.0,22.274502,2010
Inception,Action,8.1,14075.0,29.108149,2010
Grown Ups,Comedy,6.0,1746.0,23.981251,2010
Thirst,Drama,4.8,5.0,0.476642,2010
The Sorcerer's Apprentice,Fantasy,5.9,1526.0,12.533525,2010
Knight and Day,Action,5.9,1583.0,12.758942,2010
The Kids Are All Right,Comedy,6.5,512.0,5.899155,2010
Batman: Under the Red Hood,Action,7.6,459.0,7.039325,2010
Salt,Action,6.2,2125.0,8.704455,2010
Dark Island,Action,3.4,12.0,1.012268,2010
Dinner for Schmucks,Comedy,5.5,542.0,11.623718,2010
8: The Mormon Proposition,Documentary,5.5,6.0,0.252886,2010
Nanny McPhee and the Big Bang,Comedy,6.0,450.0,8.983275,2010
Lucky,Comedy,8.0,2.0,0.437868,2010
Ramona and Beezus,Comedy,6.2,249.0,7.467591,2010
Charlie St. Cloud,Drama,6.8,589.0,6.273131,2010
The Other Guys,Action,6.1,1406.0,12.536621,2010
Operation: Endgame,Adventure,5.1,63.0,8.534211,2010
The Expendables,Thriller,6.0,2977.0,14.75562,2010
Scott Pilgrim vs. the World,Action,7.2,2185.0,13.793301,2010
Animal Kingdom,Drama,6.7,240.0,9.649312,2010
Centurion,Adventure,6.0,394.0,13.00941,2010
Babies,Documentary,7.0,52.0,2.667622,2010
For Neda,Documentary,5.5,3.0,0.242245,2010
The Experiment,Thriller,6.4,304.0,9.662564,2010
Smash His Camera,Documentary,6.8,5.0,0.261439,2010
Piranha 3D,Comedy,5.3,599.0,8.212132,2010
The Extraordinary Adventures of Adèle Blanc-Sec,Fantasy,5.9,325.0,6.710598,2010
Get Low,Comedy,6.5,100.0,4.678848,2010
Gainsbourg: A Heroic Life,Drama,7.0,88.0,11.021373,2010
Giallo,Crime,4.2,38.0,2.542612,2010
Blood Into Wine,Documentary,6.5,8.0,0.876887,2010
The Last Exorcism,Horror,5.6,330.0,6.397109,2010
The American,Crime,5.8,488.0,7.275649,2010
The Switch,Comedy,5.9,599.0,5.695408,2010
Gasland,Documentary,7.4,52.0,4.334953,2010
No One Dies in Lily Dale,Documentary,1.0,1.0,0.04249,2011
Machete,Action,6.3,1171.0,7.120403,2010
Step Up 3D,Drama,6.6,595.0,9.111782,2010
The Truth,Thriller,5.7,6.0,0.594305,2010
Going the Distance,Comedy,6.0,271.0,6.876053,2010
Four Stories of St. Julian,Crime,8.0,1.0,0.041232,2010
Abandoned,Drama,4.9,41.0,2.085279,2010
Still Bill,Documentary,7.0,1.0,0.589117,2010
Vampires Suck,Horror,4.2,326.0,8.129407,2010
Resident Evil: Afterlife,Action,5.8,1382.0,0.452934,2010
Preacher's Kid,Drama,5.6,9.0,0.739298,2010
22 Bullets,Action,6.4,285.0,6.69573,2010
The Social Network,Drama,7.1,3492.0,16.972995,2010
Superman/Batman: Apocalypse,Action,7.0,171.0,5.860115,2010
The Town,Crime,7.0,1516.0,13.081203,2010
Some Days Are Better Than Others,Drama,5.2,3.0,0.254358,2011
Easy A,Comedy,6.7,2282.0,15.138144,2010
Howl,Drama,6.8,68.0,5.416588,2010
Camp Hell,Horror,3.4,17.0,0.980913,2010
I'm Still Here,Music,6.3,103.0,5.268636,2010
Flipped,Romance,7.4,426.0,10.279685,2010
Hubble 3D,Documentary,6.7,41.0,3.774768,2010
Wall Street: Money Never Sleeps,Drama,5.8,504.0,9.819864,2010
Legend of the Guardians: The Owls of Ga'Hoole,Animation,6.5,715.0,17.674048,2010
Cats & Dogs 2 : The Revenge of Kitty Galore,Comedy,4.9,122.0,7.941637,2010
Amigo,Drama,6.0,2.0,1.202218,2010
It's Kind of a Funny Story,Comedy,6.9,691.0,8.172013,2010
Tamara Drewe,Comedy,5.8,142.0,10.201299,2010
Every Day,Drama,5.2,30.0,1.954863,2010
My Girlfriend's Boyfriend,Comedy,6.1,45.0,3.521957,2010
Let Me In,Drama,6.7,656.0,11.11946,2010
Sintel,Animation,7.4,71.0,4.874409,2010
Secretariat,Drama,6.8,103.0,7.681383,2010
Devil,Horror,5.8,836.0,7.094276,2010
You Again,Comedy,6.0,380.0,12.820452,2010
Life As We Know It,Comedy,6.6,873.0,7.824962,2010
Catfish,Documentary,6.5,201.0,5.174738,2010
You Will Meet a Tall Dark Stranger,Comedy,5.8,254.0,6.36477,2010
Stone,Drama,5.2,195.0,11.275132,2010
Inside Job,Documentary,7.7,287.0,10.30535,2010
Monsters,Drama,6.2,597.0,6.154375,2010
David Cross: Bigger and Blackerer,Comedy,6.1,7.0,0.546988,2010
Conviction,Drama,7.0,195.0,11.024462,2010
Dirty Girl,Drama,6.4,71.0,10.964499,2010
Never Let Me Go,Drama,6.8,755.0,8.278794,2010
The Illusionist,Animation,7.2,177.0,6.971611,2010
Toe to Toe,Drama,2.8,3.0,0.234749,2010
Lost Boys: The Thirst,Action,5.4,46.0,2.058133,2010
Kaboom,Science Fiction,5.5,113.0,5.44702,2010
Rubber,Comedy,5.7,252.0,5.305905,2010
Seven Days,Drama,6.2,51.0,2.775577,2010
Shelter,Horror,5.7,213.0,11.634377,2010
In My Sleep,Thriller,5.7,13.0,0.963613,2010
Restrepo,Documentary,7.3,117.0,4.577881,2010
Road Train,Horror,3.5,34.0,2.589064,2010
30 Days of Night: Dark Days,Horror,4.8,121.0,7.320221,2010
Waiting for 'Superman',Documentary,6.9,45.0,2.718721,2010
RED,Action,6.6,2858.0,12.595165,2010
My Soul to Take,Drama,5.2,150.0,5.282976,2010
Heartbreaker,Romance,6.5,388.0,5.546687,2010
Eastern Drift,Drama,7.1,4.0,0.279821,2010
Paranormal Activity 2,Horror,5.7,734.0,7.388933,2010
Born to Raise Hell,Action,4.0,22.0,6.407803,2010
The Maze,Horror,5.0,6.0,1.280497,2010
13Hrs,Horror,4.5,18.0,6.156071,2010
Heartbeats,Drama,7.4,265.0,5.483163,2010
Hereafter,Drama,5.8,517.0,7.942766,2010
Black Death,Drama,5.9,252.0,12.183845,2010
Undisputed III : Redemption,Action,7.3,182.0,16.201377,2010
Saw: The Final Chapter,Horror,5.8,758.0,16.626655,2010
Due Date,Comedy,6.2,1737.0,11.73956,2010
127 Hours,Adventure,7.0,2668.0,11.176797,2010
Megamind,Animation,6.7,1968.0,11.603905,2010
Black Swan,Drama,7.3,4562.0,12.989056,2010
A Turtle's Tale: Sammy's Adventures,Animation,5.6,153.0,11.031851,2010
Jack Goes Boating,Comedy,6.1,39.0,3.581434,2010
Fair Game,Drama,6.5,239.0,6.303785,2010
Scared Shrekless,Animation,6.3,80.0,4.739649,2010
Uncle Boonmee Who Can Recall His Past Lives,Comedy,6.5,72.0,3.380308,2010
Unstoppable,Action,6.3,1193.0,12.697059,2010
Morning Glory,Comedy,6.1,420.0,10.771255,2010
Certified Copy,Drama,7.4,90.0,10.701501,2010
The Next Three Days,Romance,6.9,927.0,9.591425,2010
Somewhere,Comedy,6.0,212.0,7.098301,2010
Agnosia,Drama,5.0,16.0,1.233579,2010
Wild Target,Action,6.4,218.0,6.712894,2010
Carlos,Crime,6.7,50.0,4.558075,2010
The First Beautiful Thing,Comedy,7.0,79.0,6.883023,2010
Harry Potter and the Deathly Hallows: Part 1,Adventure,7.5,5708.0,23.300362,2010
The King's Speech,Drama,7.6,2817.0,11.260387,2010
Tangled,Animation,7.4,3419.0,14.684761,2010
The Lost Skeleton Returns Again,Comedy,7.0,9.0,0.618465,2010
Snow & Ashes,Drama,3.5,2.0,0.362249,2010
The Fighter,Drama,7.2,1512.0,14.141837,2010
The Romantics,Comedy,4.8,83.0,8.786269,2010
Red: Werewolf Hunter,Fantasy,4.3,18.0,3.330769,2010
The Extra Man,Comedy,5.9,29.0,3.18614,2010
Crazy on the Outside,Comedy,5.2,33.0,3.170053,2010
The Reef,Drama,5.4,132.0,8.377115,2010
Casino Jack,Crime,6.0,94.0,8.5508,2010
London Boulevard,Drama,5.7,261.0,11.421915,2010
Skyline,Science Fiction,4.7,516.0,7.676017,2010
Sex & Drugs & Rock & Roll,Drama,6.9,16.0,1.017808,2010
Home for Christmas,Comedy,5.0,2.0,0.472903,2010
Beastly,Drama,5.9,878.0,7.364563,2011
Love & Other Drugs,Drama,6.6,1268.0,7.575696,2010
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure,6.2,1555.0,12.383398,2010
Tiny Furniture,Romance,5.6,60.0,2.799356,2010
Lovers of Hate,Comedy,5.0,3.0,0.258371,2010
The Tourist,Action,6.0,1744.0,12.845045,2010
Chatroom,Drama,5.9,113.0,13.382622,2010
Rare Exports: A Christmas Tale,Fantasy,6.4,143.0,4.51319,2010
13,Drama,5.9,247.0,14.67986,2010
Hatchet II,Horror,5.6,91.0,12.525758,2010
All Good Things,Drama,5.9,294.0,11.691146,2010
Night Catches Us,Drama,3.9,6.0,1.437125,2010
"Tomorrow, When the War Began",Action,6.2,195.0,4.983475,2010
I Love You Too,Comedy,5.8,13.0,2.027757,2010
True Grit,Drama,7.2,1701.0,10.730765,2010
TRON: Legacy,Adventure,6.3,2895.0,21.259,2010
Another Year,Comedy,7.0,97.0,5.000657,2010
How Do You Know,Comedy,4.9,229.0,5.458387,2010
Barney's Version,Comedy,7.2,131.0,7.524794,2010
The Company Men,Drama,6.4,218.0,5.858803,2010
Faster,Crime,6.1,577.0,9.014972,2010
Rabbit Hole,Drama,6.8,167.0,7.007993,2010
The Lottery,Documentary,5.0,1.0,0.093776,2010
Little Fockers,Comedy,5.5,1092.0,9.73941,2010
Gulliver's Travels,Comedy,4.9,633.0,7.565799,2010
Nude Nuns With Big Guns,Thriller,3.8,44.0,7.31941,2010
The Last Circus,Action,6.6,95.0,4.896196,2010
The Scientist,Drama,9.0,1.0,0.159456,2010
White Material,Drama,7.3,33.0,2.775816,2010
And Soon the Darkness,Horror,5.0,106.0,6.904518,2010
Burlesque,Drama,6.9,581.0,9.276539,2010
Violet Tendencies,Comedy,4.5,7.0,0.495445,2010
Tucker and Dale vs Evil,Comedy,7.3,860.0,6.771868,2010
Yogi Bear,Comedy,5.2,228.0,6.598296,2010
Countdown to Zero,Documentary,6.3,12.0,0.436199,2010
Band Baaja Baaraat,Comedy,6.6,32.0,1.253675,2010
Made in Dagenham,Comedy,6.6,94.0,4.326838,2010
Waste Land,Documentary,7.6,34.0,2.627643,2010
Last Night,Drama,6.1,243.0,15.280219,2010
Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),Documentary,7.6,12.0,3.063163,2010
The Green Hornet,Action,5.5,1274.0,7.888013,2011
The Way Back,Drama,6.8,462.0,9.402082,2010
The Warrior's Way,Adventure,6.3,138.0,5.510805,2010
Ricky Gervais Live 4: Science,Comedy,7.3,9.0,1.154887,2010
No Return,Drama,5.8,6.0,0.634539,2010
Cowboys & Aliens,Action,5.4,2054.0,10.958669,2011
Just Like Me,Comedy,6.3,4.0,0.218236,2010
L'amour fou,Documentary,6.8,8.0,1.426909,2010
A Film Unfinished,History,6.3,11.0,0.488031,2010
Marwencol,Documentary,6.8,15.0,0.827035,2010
Edge,Action,0.0,0.0,0.005954,2010
The Dilemma,Comedy,5.2,306.0,7.513067,2011
Frankie & Alice,Drama,5.7,32.0,2.178315,2010
The Trip,Comedy,7.0,117.0,8.832903,2010
2012: Time for Change,Animation,5.0,1.0,0.130351,2010
"Tuesday, After Christmas",Drama,6.5,15.0,1.812899,2010
Limitless,Thriller,7.1,3888.0,12.114955,2011
Happy People: A Year in the Taiga,Documentary,7.6,37.0,2.409076,2010
Carrie Fisher: Wishful Drinking,Comedy,7.0,6.0,1.104944,2010
I Spit on Your Grave,Thriller,6.3,537.0,12.805294,2010
Even the Rain,Drama,6.7,72.0,3.917709,2010
Welcome to the Rileys,Drama,6.5,141.0,6.182802,2010
The Traveler,Horror,5.2,21.0,1.628307,2010
Chain Letter,Horror,3.9,37.0,2.726794,2010
Zeitgeist: Moving Forward,Documentary,6.9,70.0,2.68829,2011
"Stewart Lee: If You Prefer a Milder Comedian, Please Ask for One",Comedy,7.3,6.0,0.489615,2010
No Strings Attached,Comedy,6.1,1367.0,8.88057,2011
The Lincoln Lawyer,Crime,7.0,923.0,6.807442,2011
The Rite,Drama,5.8,577.0,7.128117,2011
Dog Pound,Drama,7.5,104.0,5.059285,2010
All Star Superman,Animation,6.8,121.0,7.786765,2011
And Everything Is Going Fine,Documentary,5.7,10.0,0.652975,2010
Virus X,Drama,3.6,7.0,0.535661,2010
For Colored Girls,Drama,7.0,22.0,2.216959,2010
From Prada to Nada,Comedy,5.0,87.0,11.096527,2011
Country Strong,Drama,5.9,80.0,4.582024,2010
Unknown,Action,6.5,1288.0,14.443599,2011
Sanctum,Action,5.8,347.0,7.000775,2011
Cedar Rapids,Comedy,5.9,135.0,4.84886,2011
Mirrors 2,Horror,5.4,110.0,5.936241,2010
Gnomeo & Juliet,Animation,5.8,547.0,9.244469,2011
Burke & Hare,Comedy,6.1,151.0,7.787593,2010
Vanishing on 7th Street,Mystery,4.8,165.0,8.419427,2010
Open House,Drama,4.8,15.0,1.124815,2010
Client 9: The Rise and Fall of Eliot Spitzer,Documentary,6.5,11.0,0.420078,2010
Paul,Adventure,6.5,1825.0,10.24382,2011
Drive Angry,Fantasy,5.3,608.0,7.668829,2011
Rango,Animation,6.6,2094.0,10.581925,2011
Take Me Home Tonight,Comedy,6.2,215.0,8.132811,2011
The Adjustment Bureau,Science Fiction,6.5,1677.0,9.420301,2011
Happythankyoumoreplease,Comedy,6.4,89.0,9.668784,2010
Cropsey,Documentary,6.1,58.0,2.065029,2010
The Mechanic,Action,6.3,1066.0,9.832342,2011
Hall Pass,Comedy,5.4,627.0,9.13273,2011
The Eagle,Adventure,5.9,426.0,6.196929,2011
I Am Number Four,Action,5.9,1606.0,9.388376,2011
71: Into the Fire,War,7.0,38.0,3.106814,2010
Battle: Los Angeles,Action,5.5,1462.0,6.753746,2011
The Sunset Limited,Drama,7.1,110.0,4.470133,2011
Mars Needs Moms,Adventure,5.6,202.0,7.24717,2011
Fubar II,Comedy,6.5,9.0,0.405272,2010
The Bannen Way,Action,4.9,11.0,1.209344,2010
Scooby-Doo! Curse of the Lake Monster,Mystery,5.5,66.0,9.844083,2010
Holy Rollers,Crime,6.1,29.0,1.747257,2010
The Wildest Dream,Documentary,6.9,13.0,1.064957,2010
Just Go with It,Romance,6.3,1588.0,9.267959,2011
Trophy Wife,Comedy,6.1,105.0,5.899325,2010
Cave of Forgotten Dreams,Documentary,7.1,85.0,4.508588,2010
Red Riding Hood,Fantasy,5.7,958.0,10.174298,2011
"Big Mommas: Like Father, Like Son",Crime,5.3,322.0,7.564777,2011
Super,Comedy,6.6,446.0,8.309635,2010
Source Code,Thriller,7.1,2752.0,9.796962,2011
Jane Eyre,Drama,7.0,438.0,7.089084,2011
Sucker Punch,Action,5.9,1661.0,13.779527,2011
Putty Hill,Drama,6.7,6.0,0.514257,2010
The Kings of Mykonos,Action,5.9,9.0,0.864925,2010
Don't You Forget About Me,Documentary,4.7,3.0,0.289631,2010
Beneath Hill 60,Drama,7.2,41.0,5.661077,2010
Formosa Betrayed,Action,6.5,2.0,0.664745,2010
Insidious,Horror,6.8,1775.0,17.24814,2010
Meek's Cutoff,Drama,6.5,79.0,4.725763,2010
Hobo with a Shotgun,Action,5.7,213.0,10.926038,2011
Win Win,Drama,6.7,176.0,4.480723,2011
Boy,Drama,7.5,66.0,3.308503,2010
Diary of a Wimpy Kid: Rodrick Rules,Family,6.3,250.0,8.425361,2011
Henry's Crime,Crime,5.8,110.0,5.145185,2010
Hop,Animation,5.5,338.0,8.904488,2011
The Arbor,Documentary,6.1,9.0,0.707297,2010
On Tour,Drama,6.4,22.0,1.99304,2010
Hanna,Action,6.5,1284.0,8.071196,2011
Easy Money,Drama,6.5,63.0,10.520394,2010
Into Eternity,Documentary,7.4,26.0,1.227597,2010
American: The Bill Hicks Story,Comedy,8.0,20.0,1.550254,2010
Arthur,Comedy,5.3,270.0,9.698075,2011
Scream 4,Horror,6.1,930.0,10.000721,2011
Rio,Animation,6.5,2213.0,10.403228,2011
The Princess of Montpensier,Action,6.4,42.0,2.156145,2010
Melancholia,Drama,7.0,915.0,8.124767,2011
Thor,Adventure,6.6,6678.0,29.158489,2011
Louis C.K.: Hilarious,Comedy,8.2,70.0,3.882248,2010
Atlas Shrugged Part I,Drama,5.0,61.0,3.4949,2011
Welcome to the South,Comedy,6.6,395.0,6.700081,2010
The Resident,Thriller,5.3,168.0,5.47578,2011
That's What I Am,Comedy,6.7,57.0,7.839933,2011
Mildred Pierce,Drama,7.3,36.0,3.010129,2011
Bloomington,Drama,6.2,40.0,2.312106,2010
Water for Elephants,Drama,6.7,879.0,7.649466,2011
The Names of Love,Drama,7.3,94.0,4.786783,2010
African Cats,Documentary,7.1,74.0,3.267026,2011
Tracker,Action,6.0,18.0,7.12869,2010
Film Socialisme,Drama,6.9,17.0,1.992959,2010
Kill the Irishman,Action,6.7,166.0,5.981634,2011
Cold Weather,Mystery,6.4,14.0,1.636778,2010
Fast Five,Action,7.1,2491.0,1.420361,2011
The Parking Lot Movie,Documentary,6.5,10.0,0.402405,2010
We Are What We Are,Horror,5.9,20.0,1.881046,2010
The Robber,Drama,6.7,31.0,1.824255,2010
Attenberg,Drama,5.9,33.0,2.7151,2010
Incendies,Drama,7.9,496.0,8.596012,2010
Soul Surfer,Family,6.9,355.0,11.009053,2011
Something Borrowed,Comedy,5.9,304.0,5.47309,2011
Bridesmaids,Comedy,6.5,1697.0,6.810991,2011
The 19th Wife,Drama,3.6,5.0,0.814923,2010
The Beaver,Drama,6.2,281.0,5.484379,2011
The Tortured,Horror,5.3,53.0,3.436769,2010
Pirates of the Caribbean: On Stranger Tides,Adventure,6.4,5068.0,27.88772,2011
Midnight in Paris,Fantasy,7.4,2049.0,11.43256,2011
The Kid with a Bike,Drama,7.2,119.0,7.95457,2011
The Tree of Life,Drama,6.5,1009.0,11.204539,2011
The Hangover Part II,Comedy,6.2,3836.0,21.893532,2011
Nothing to Declare,Comedy,5.7,275.0,8.371842,2010
Victim,Drama,4.0,12.0,0.840678,2010
Stonewall Uprising,Documentary,7.0,2.0,0.640779,2010
The Virginity Hit,Comedy,4.6,19.0,2.235068,2010
The Roommate,Thriller,5.3,230.0,8.453293,2011
8:28 AM,Romance,6.0,3.0,0.430238,2010
Trust,Crime,6.6,314.0,7.778097,2010
Group Sex,Comedy,5.5,20.0,2.321234,2010
Open Season 3,Animation,5.4,113.0,10.567325,2010
The Speed of Thought,Action,4.1,15.0,2.031708,2011
Attack the Block,Action,6.3,748.0,9.93263,2011
The Way,Adventure,7.2,166.0,7.131032,2010
The Tunnel,Horror,5.6,117.0,4.863972,2011
Kung Fu Panda 2,Animation,6.7,1925.0,11.481921,2011
Submarine,Drama,7.4,452.0,7.346099,2011
The Other Woman,Drama,6.0,131.0,6.212898,2010
American Grindhouse,Documentary,6.8,20.0,9.201047,2010
Everything Must Go,Comedy,6.0,210.0,4.779994,2010
Red White & Blue,Drama,5.8,46.0,3.039909,2010
Beginners,Drama,6.8,353.0,6.72639,2010
Super 8,Thriller,6.6,2496.0,19.529911,2011
Lottery Ticket,Comedy,5.7,56.0,6.720886,2010
Daydream Nation,Drama,5.8,65.0,5.116632,2010
The Chosen One,Comedy,4.6,17.0,1.241028,2010
Green Lantern,Adventure,5.1,2551.0,13.985631,2011
Elektra Luxx,Action,4.7,49.0,4.118699,2010
Cinema Verite,Drama,6.0,16.0,1.131682,2011
Mr. Popper's Penguins,Comedy,5.7,775.0,15.214342,2011
Bad Teacher,Comedy,5.4,1634.0,7.310686,2011
Why Did I Get Married Too?,Comedy,6.1,29.0,2.576815,2010
Transformers: Dark of the Moon,Action,6.1,3351.0,4.503505,2011
Larry Crowne,Comedy,5.7,369.0,10.778028,2011
Score: A Hockey Musical,Comedy,7.0,1.0,0.507532,2010
Your Highness,Comedy,5.2,511.0,5.67375,2011
YellowBrickRoad,Horror,4.9,54.0,2.554659,2010
Judy Moody and the Not Bummer Summer,Comedy,5.1,14.0,2.321394,2011
Kalamity,Mystery,5.0,2.0,0.812938,2010
The Four-Faced Liar,Comedy,4.9,18.0,0.776951,2010
Seconds Apart,Horror,5.6,40.0,3.27105,2011
Armless,Comedy,3.0,1.0,0.137612,2010
Too Big to Fail,Drama,6.9,53.0,3.363008,2011
Takers,Action,6.1,399.0,7.000421,2010
Three,Romance,6.3,31.0,4.898882,2010
Route Irish,Drama,6.5,21.0,2.005383,2011
"Cougars, Inc.",Comedy,5.3,20.0,1.614276,2011
Strapped,Drama,6.1,17.0,1.307499,2010
Zookeeper,Comedy,5.3,509.0,11.341084,2011
Horrible Bosses,Comedy,6.4,2341.0,9.856955,2011
Cars 2,Animation,5.8,2088.0,13.693002,2011
Megan is Missing,Drama,5.4,63.0,2.770306,2011
The Ward,Horror,5.8,334.0,5.727987,2010
Page One: Inside the New York Times,Documentary,7.1,20.0,1.373641,2011
Anton Chekhov's The Duel,Drama,7.4,5.0,1.22775,2010
Burn Notice: The Fall of Sam Axe,Comedy,6.8,40.0,14.649159,2011
Mammuth,Comedy,5.9,35.0,1.744295,2010
200 MPH,Action,3.7,13.0,1.023577,2011
Double Dhamaal,Comedy,4.4,7.0,1.387143,2011
"Happiness Is a Warm Blanket, Charlie Brown",Animation,6.5,16.0,1.785932,2011
Delhi Belly,Action,7.0,39.0,1.932489,2011
Snowblind,Western,4.6,5.0,0.535184,2010
Monte Carlo,Adventure,6.0,611.0,8.34835,2011
Monogamy,Drama,3.5,2.0,0.375211,2010
The Perfect Host,Comedy,6.2,136.0,5.935839,2010
Harry Potter and the Deathly Hallows: Part 2,Family,7.9,6141.0,24.990737,2011
Conan O'Brien Can't Stop,Documentary,6.2,39.0,1.686871,2011
Drive,Drama,7.4,3832.0,15.388875,2011
Love Crime,Thriller,6.4,29.0,2.440568,2010
Captain America: The First Avenger,Action,6.6,7174.0,19.323582,2011
"Crazy, Stupid, Love.",Comedy,7.0,2522.0,10.246173,2011
One Day,Drama,7.0,1006.0,11.239012,2011
35 and Ticking,Romance,5.3,10.0,1.658429,2011
Griff the Invisible,Romance,6.1,35.0,2.930897,2011
Quarantine 2: Terminal,Horror,4.8,121.0,4.520607,2011
Winnie the Pooh,Animation,6.8,263.0,7.357682,2011
Peep World,Comedy,5.2,18.0,1.185288,2010
The Woman,Drama,5.9,145.0,5.895968,2011
Four Times,Drama,7.6,27.0,1.82925,2010
